Status,Taker,Name,Notes,Agency,DocType,Id
審查中,邱景昆,佛光大學建校計畫環境影響評估報告書變更內容對照表,本書件為初稿本,環保署,變更內容對照表,1030494A
審查中,張同婉,臺中市精密機械科技創新園區開發計畫第六次環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030483A
審查中,張同婉,六輕四期擴建計畫第九次環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030473A
審查中,張同婉,六輕相關計畫農業渠道灌溉尾水再利用案未完成之因應對策,本書件為初稿本,環保署,因應對策,1030466A
審查中,陳彥男,遠雄健康生活園區開發案第二次環境影響差異分析報告,本書件為確認本,環保署,差異分析報告,1030433A
審核修正…,邱景昆,高雄港洲際貨櫃中心計畫環境影響評估報告書第四次變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1030424A
審查中,邱景昆,台中市大安區、大甲區設置風力發電廠興建計畫第二次變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1030414A
審查中,劉馥萱,龍港風力發電機組開發計畫環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030403A
審查中,張同婉,嶺東科技大學第二校區開發計畫環境影響差異分析報告書（第五次變更）,本書件為初稿本,環保署,差異分析報告,1030393A
審查中,陳彥男,彰濱工業區事業廢棄物資源回收處理廠暨中區事業廢棄物綜合處理中心第四次環境影響差異分析報告,本署件為初稿本,環保署,差異分析報告,1030383A
審查中,邱景昆,大鵬灣國家風景區(BOT)開發計畫環境影響說明書第五次變更內容對照表,本書件為初稿本,環保署,變更內容對照表,1030374A
審查中,張同婉,六輕四期擴建計畫第八次環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030363A
審查中,邱景昆,台中發電廠第九、十號機發電計畫環境影響說明書環境監測變更內容對照表,本書件為初稿本,環保署,變更內容對照表,1030354A
審查中,邱景昆,台26線安朔至港口段公路整體改善計畫環境影響評估報告書第3次變更內容對照表(安朔至旭海段第5-6標停止營運期間環境監測計畫),本書件為初稿本,環保署,變更內容對照表,1030344A
審查中,劉馥萱,華亞汽電股份有限公司汽電共生機組新建計畫第三次環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030333A
審查中,劉馥萱,中山高速公路員林至高雄段拓寬工程計畫環境影響說明書第6次環境差異分析報告（增設臺南交流道北上出口匝道）,本書件為初稿本,環保署,差異分析報告,1030323A
審查中,張同婉,苗栗縣後龍鎮設置風力發電廠興建計畫第二次環境影響差異分析報告,本書件為初稿本,環保署,差異分析報告,1030303A
進入二階…,陳彥男,澎防部(莒光營區)遷建工程案環境影響說明書,本書件為初稿本,環保署,說明書,1030291A
